userId,movieId,rating
CQP9c76gNlgURjdT26AwvYmMSRg2,31,2.5
CQP9c76gNlgURjdT26AwvYmMSRg2,1029,3.0
CQP9c76gNlgURjdT26AwvYmMSRg2,1061,3.0
CQP9c76gNlgURjdT26AwvYmMSRg2,1129,2.0
CQP9c76gNlgURjdT26AwvYmMSRg2,1172,4.0
CQP9c76gNlgURjdT26AwvYmMSRg2,1263,2.0
CQP9c76gNlgURjdT26AwvYmMSRg2,1287,2.0
CQP9c76gNlgURjdT26AwvYmMSRg2,1293,2.0
CQP9c76gNlgURjdT26AwvYmMSRg2,1339,3.5
CQP9c76gNlgURjdT26AwvYmMSRg2,1343,2.0
CQP9c76gNlgURjdT26AwvYmMSRg2,1371,2.5
CQP9c76gNlgURjdT26AwvYmMSRg2,1405,1.0
CQP9c76gNlgURjdT26AwvYmMSRg2,1953,4.0
CQP9c76gNlgURjdT26AwvYmMSRg2,2105,4.0
CQP9c76gNlgURjdT26AwvYmMSRg2,2150,3.0
CQP9c76gNlgURjdT26AwvYmMSRg2,2193,2.0
CQP9c76gNlgURjdT26AwvYmMSRg2,2294,2.0
CQP9c76gNlgURjdT26AwvYmMSRg2,2455,2.5
CQP9c76gNlgURjdT26AwvYmMSRg2,2968,1.0
CQP9c76gNlgURjdT26AwvYmMSRg2,3671,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,10,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,17,5.0
5cb3nWdZohhqQpddcwtZsQbGam93,39,5.0
5cb3nWdZohhqQpddcwtZsQbGam93,47,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,50,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,52,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,62,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,110,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,144,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,150,5.0
5cb3nWdZohhqQpddcwtZsQbGam93,153,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,161,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,165,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,168,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,185,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,186,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,208,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,222,5.0
5cb3nWdZohhqQpddcwtZsQbGam93,223,1.0
5cb3nWdZohhqQpddcwtZsQbGam93,225,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,235,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,248,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,253,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,261,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,265,5.0
5cb3nWdZohhqQpddcwtZsQbGam93,266,5.0
5cb3nWdZohhqQpddcwtZsQbGam93,272,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,273,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,292,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,296,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,300,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,314,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,317,2.0
5cb3nWdZohhqQpddcwtZsQbGam93,319,1.0
5cb3nWdZohhqQpddcwtZsQbGam93,339,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,349,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,350,4.0
5cb3nWdZohhqQpddcwtZsQbGam93,356,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,357,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,364,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,367,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,370,2.0
5cb3nWdZohhqQpddcwtZsQbGam93,371,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,372,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,377,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,382,3.0
5cb3nWdZohhqQpddcwtZsQbGam93,405,2.0
